Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
94,40,85,1050,False,4,0,7/6/2024 9:13:44 AM,False,0,1,86,9.400001,1976,,4,0,7/6/2024 9:46:35 AM,False,0,1,937B0677,86,2,13,GF,40/85,998,998,Peregrine
Time (ms),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,1.2,0,1,0.23,0.21,0,0,0,1,0,25,False,True,0,0,57,44,32,3.99,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
2000,1.3,0,1,0.23,0.21,0,0,0,1,0,25,False,True,0,0,55,41,30,4,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
4000,1.8,0,1,0.24,0.21,0,0,0,1,0,25,False,True,0,0,53,38,28,4,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
6000,1.9,0,1,0.25,0.21,0,0,0,1,0,25,False,True,0,0,53,39,27,4,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
8000,1.9,0,1,0.25,0.21,0,0,0,1,0,25,False,True,0,0,53,39,26,4,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
10000,1.7,0,1,0.25,0.21,0,0,99,1,0,25,False,True,0,0,54,39,29,4,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
12000,1.8,0,1,0.24,0.21,0,0,99,1,0,25,False,True,0,0,54,39,28,4,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
14000,2.2,0,1,0.25,0.21,0,0,99,1,0,25,False,True,0,0,52,38,27,4,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
16000,2.5,0,1,0.26,0.21,0,0,99,1,0,24,False,True,0,0,54,38,28,4,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
18000,2.9,0,1,0.27,0.21,0,0,99,1,0,24,False,True,0,0,53,38,27,4,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0
